provincia,canton,poblacion,area_km2
San José,San José,352381,44.62
San José,Escazú,71500,34.53
San José,Desamparados,223226,118.89
San José,Puriscal,38525,555.04
San José,Tarrazú,17810,291.27
San José,Aserrí,59588,168.26
San José,Mora,32348,163.48
San José,Goicoechea,132104,31.70
San José,Santa Ana,58020,61.42
San José,Alajuelita,81012,21.47
San José,Vásquez de Coronado,67078,223.93
San José,Acosta,22542,342.56
San José,Tibás,74592,8.27
San José,Moravia,59546,28.82
San José,Montes de Oca,53862,15.78
San José,Turrubares,6173,416.25
San José,Dota,9364,404.44
San José,Curridabat,71026,16.06
San José,Pérez Zeledón,156917,1901.08
San José,León Cortés,13553,121.90
Alajuela,Alajuela,322143,391.61
Alajuela,San Ramón,93264,1021.75
Alajuela,Grecia,76226,142.47
Alajuela,San Mateo,6952,125.03
Alajuela,Atenas,30407,126.32
Alajuela,Naranjo,46647,127.03
Alajuela,Palmares,39148,38.94
Alajuela,Poás,36207,74.48
Alajuela,Orotina,24217,145.11
Alajuela,San Carlos,198742,3352.14
Alajuela,Zarcero,15153,157.36
Alajuela,Sarchí,21562,136.77
Alajuela,Upala,57361,1592.68
Alajuela,Los Chiles,34701,1332.71
Alajuela,Guatuso,18316,752.83
Alajuela,Río Cuarto,14418,254.90
Cartago,Cartago,165417,278.66
Cartago,Paraíso,65941,477.00
Cartago,La Unión,99539,44.18
Cartago,Jiménez,18710,250.07
Cartago,Turrialba,82065,1589.24
Cartago,Alvarado,17134,79.19
Cartago,Oreamuno,48911,202.89
Cartago,El Guarco,47375,172.00
Heredia,Heredia,131901,283.12
Heredia,Barva,47699,56.02
Heredia,Santo Domingo,45932,25.40
Heredia,Santa Bárbara,39133,52.10
Heredia,San Rafael,48848,48.31
Heredia,San Isidro,22806,26.67
Heredia,Belén,23759,12.38
Heredia,Flores,22026,6.75
Heredia,San Pablo,29860,8.34
Heredia,Sarapiquí,67153,2144.22
Guanacaste,Liberia,80130,1442.17
Guanacaste,Nicoya,66268,1337.56
Guanacaste,Santa Cruz,72366,1320.80
Guanacaste,Bagaces,23709,1277.93
Guanacaste,Carrillo,48227,599.01
Guanacaste,Cañas,31738,687.04
Guanacaste,Abangares,22211,646.02
Guanacaste,Tilarán,21232,669.24
Guanacaste,Nandayure,11874,568.14
Guanacaste,La Cruz,26829,1385.40
Guanacaste,Hojancha,8224,262.99
Puntarenas,Puntarenas,136311,1763.39
Puntarenas,Esparza,34808,217.23
Puntarenas,Buenos Aires,50562,2382.94
Puntarenas,Montes de Oro,16395,247.60
Puntarenas,Osa,36088,1932.70
Puntarenas,Quepos,32416,557.85
Puntarenas,Golfito,33442,1032.32
Puntarenas,Coto Brus,46351,944.22
Puntarenas,Parrita,20068,483.22
Puntarenas,Corredores,51023,623.62
Puntarenas,Garabito,26672,316.01
Puntarenas,Monteverde,5386,53.47
Puntarenas,Puerto Jiménez,10644,720.43
Limón,Limón,116457,1769.38
Limón,Pococí,146320,2188.17
Limón,Siquirres,63765,855.14
Limón,Talamanca,48906,2792.23
Limón,Matina,45329,770.40
Limón,Guácimo,49606,801.56
